Rank,Title,Artist(s),Artists Separately
44,"""Gucci Gang""",Lil Pump,Lil Pump
45,"""Him & I""",G-Eazy and Halsey,G-Eazy;Halsey
46,"""In My Blood""",Shawn Mendes,Shawn Mendes
47,"""All the Stars""",Kendrick Lamar and SZA,Kendrick Lamar;SZA
48,"""Stir Fry""",Migos,Migos
49,"""Too Good at Goodbyes""",Sam Smith,Sam Smith
50,"""Love""",Kendrick Lamar featuring Zacari,Kendrick Lamar;Zacari
51,"""This Is America""",Childish Gambino,Childish Gambino
52,"""Nonstop""",Drake,Drake
53,"""Heaven""",Kane Brown,Kane Brown
54,"""Bodak Yellow""",Cardi B,Cardi B
55,"""Freaky Friday""",Lil Dicky featuring Chris Brown,Lil Dicky;Chris Brown
56,"""Gummo""",6ix9ine,6ix9ine
57,"""Plug Walk""",Rich the Kid,Rich the Kid
58,"""Wait""",Maroon 5,Maroon 5
59,"""Be Careful""",Cardi B,Cardi B
60,"""Wolves""",Selena Gomez and Marshmello,Selena Gomez;Marshmello
61,"""Bartier Cardi""",Cardi B featuring 21 Savage,Cardi B;21 Savage
62,"""God Is a Woman""",Ariana Grande,Ariana Grande
63,"""Big Bank""","YG featuring 2 Chainz, Nicki Minaj and Big Sean",YG;2 Chainz;Nicki Minaj;Big Sean
64,"""Sorry Not Sorry""",Demi Lovato,Demi Lovato
65,"""How Long""",Charlie Puth,Charlie Puth
66,"""Lights Down Low""",Max featuring Gnash,Max;Gnash
67,"""Young Dumb & Broke""",Khalid,Khalid
68,"""One Kiss""",Calvin Harris and Dua Lipa,Calvin Harris;Dua Lipa
69,"""Natural""",Imagine Dragons,Imagine Dragons
70,"""You Make It Easy""",Jason Aldean,Jason Aldean
71,"""Shape of You""",Ed Sheeran,Ed Sheeran
72,"""I Get the Bag""",Gucci Mane featuring Migos,Gucci Mane;Migos
73,"""No Brainer""","DJ Khaled featuring Justin Bieber, Chance the Rapper and Quavo",DJ Khaled;Justin Bieber;Chance the Rapper;Quavo
74,"""Plain Jane""",ASAP Ferg featuring Nicki Minaj,ASAP Ferg;Nicki Minaj
75,"""Sky Walker""",Miguel featuring Travis Scott,Miguel;Travis Scott
76,"""Marry Me""",Thomas Rhett,Thomas Rhett
77,"""Eastside""","Benny Blanco, Halsey and Khalid",Benny Blanco;Halsey;Khalid
78,"""Call Out My Name""",The Weeknd,The Weeknd
79,"""King's Dead""","Jay Rock, Kendrick Lamar, Future and James Blake",Jay Rock;Kendrick Lamar;Future;James Blake
80,"""Happier""",Marshmello and Bastille,Marshmello;Bastille
81,"""Te Boté""","Nio García, Darell and Casper Mágico featuring Bad Bunny, Nicky Jam and Ozuna",Darell;Bad Bunny;Nicky Jam;Ozuna
82,"""Simple""",Florida Georgia Line,Florida Georgia Line
83,"""Lemon""",N.E.R.D and Rihanna,N.E.R.D;Rihanna
84,"""1-800-273-8255""",Logic featuring Alessia Cara and Khalid,Logic;Alessia Cara;Khalid
85,"""Say Something""",Justin Timberlake featuring Chris Stapleton,Justin Timberlake;Chris Stapleton
86,"""I'm Upset""",Drake,Drake
87,"""Get Along""",Kenny Chesney,Kenny Chesney
88,"""Moonlight""",XXXTentacion,XXXTentacion
89,"""What Lovers Do""",Maroon 5 featuring SZA,Maroon 5;SZA
90,"""X""",Nicky Jam and J Balvin,Nicky Jam;J Balvin
91,"""Outside Today""",YoungBoy Never Broke Again,YoungBoy Never Broke Again
92,"""Trip""",Ella Mai,Ella Mai
93,"""Dura""",Daddy Yankee,Daddy Yankee
94,"""Changes""",XXXTentacion,XXXTentacion
95,"""Mercy""",Brett Young,Brett Young
96,"""One Number Away""",Luke Combs,Luke Combs
97,"""Powerglide""",Rae Sremmurd featuring Juicy J,Rae Sremmurd;Juicy J
98,"""IDGAF""",Dua Lipa,Dua Lipa
99,"""Mi Gente""",J Balvin and Willy William featuring Beyoncé,J Balvin;Willy William;Beyoncé
100,"""Believer""",Imagine Dragons,Imagine Dragons
